date,checkNumber,description,amount
2024-01-08,10032,Insurance,2174.75
2024-01-15,75541,Car Maintenance,82.39
2024-01-25,60825,Car Maintenance,1369.21
2024-01-30,72502,Insurance,2407.99
2024-02-01,81065,Internet Service,-1116.8
2024-02-02,46417,Office Supplies,1978.17
2024-02-05,89613,Dining,2762.12
2024-02-11,71910,Groceries,1196.04
2024-02-12,55242,Electricity Bill,-368.64
2024-02-20,26762,Internet Service,534.42
2024-02-22,54939,Gym Membership,1367.47
2024-02-27,85206,Rent,1141.85
2024-03-06,83826,Dining,2965.33
2024-03-12,48978,Internet Service,2779.82
2024-03-18,91061,Insurance,-525.44
2024-03-26,90631,Gym Membership,-21.12
2024-03-30,68567,Client Payment,800.14
2024-04-02,62218,Electricity Bill,2879.05
2024-04-08,69895,Groceries,938.0
2024-04-18,67700,Rent,1158.41
2024-04-27,99769,Insurance,806.48
2024-04-28,22511,Office Supplies,2746.96
2024-04-29,22690,Dining,2791.25
2024-05-06,14639,Car Maintenance,1933.64
2024-05-11,50971,Electricity Bill,2431.37
2024-05-20,35433,Insurance,2701.11
2024-05-23,75829,Electricity Bill,294.58
2024-05-25,17408,Dining,737.39
2024-05-29,67407,Rent,142.81
2024-05-31,30062,Client Payment,-698.84
2024-06-10,59633,Gym Membership,2811.8
2024-06-12,29633,Dining,-1492.98
2024-06-18,28378,Dining,2877.88
2024-06-23,13100,Electricity Bill,341.05
2024-06-30,31603,Car Maintenance,2852.91
2024-07-08,72015,Insurance,1007.48
2024-07-10,86405,Electricity Bill,-178.73
2024-07-19,93422,Groceries,1062.77
2024-07-21,82947,Insurance,-1247.31
2024-07-24,26888,Dining,2053.34
2024-07-31,65325,Insurance,2789.28
2024-08-01,87759,Client Payment,2755.07
2024-08-02,31667,Electricity Bill,-1442.55
2024-08-06,66661,Groceries,-463.26
2024-08-09,74693,Insurance,-24.85
2024-08-10,98658,Electricity Bill,1600.02
2024-08-11,27135,Car Maintenance,-1222.26
2024-08-13,80264,Office Supplies,-494.61
2024-08-22,17677,Insurance,2862.08
2024-08-30,54709,Client Payment,2315.95
